index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	तेन		तेन	तद्{सर्वनाम;पुं;3;एक}/तद्{सर्वनाम;नपुं;3;एक}/तन्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;तनादिः}	तद्{सर्वनाम;पुं;3;एक}	विशेषणम्,2.1	प्रयोजककर्तृरहितप्रज्यकर्ता,5.1#हेतुः,5.1#विशेषणम्,2.1	N3	उस	उस
2.1	मायाविना		मायाविना	मायाविन्{पुं;3;एक}	मायाविन्{पुं;3;एक}	प्रयोज्यकर्ता,5.1	प्रयोजककर्तृरहितप्रज्यकर्ता,5.1#हेतुः,5.1	N3	ऐन्द्रजालिक_से	ऐन्द्रजालिक_से
3.1	नृप-		नृप-आत्मजौ	नृप	नृप	षष्ठी-तत्पुरुष,3.2	षष्ठी-तत्पुरुष,3.2	CP	नृप-	नृप-
3.2	आत्म-		--	आत्म-	आत्म-	उपपद-तत्पुरुष,3.2	उपपद-तत्पुरुष,3.2	N2	आत्म-	आत्म-
3.2	जौ		--	ज{पुं;1;द्वि}/ज{पुं;2;द्वि}/ज{पुं;8;द्वि}	ज{पुं;2;द्वि}	कर्म,5.1	मुख्यकर्म,11.1#मुख्यकर्म,5.1#गौणकर्म,11.1#गौणकर्म,5.1	N2	पुत्र	पुत्र
4.1	दूरम्		दूरम्	दूर{पुं;2;एक}/दूर{नपुं;1;एक}/दूर{नपुं;2;एक}	दूर{नपुं;2;एक}	कर्म,5.1	देशाधिकरणम्_उप,5.1#मुख्यकर्म,11.1#मुख्यकर्म,5.1#गौणकर्म,5.1#कर्ता,11.1#विशेषणम्,7.1#विशेषणम्,6.1#गौणकर्म,11.1	N2	दूर	दूर
5.1	अपवाह्य		अपवाह्य	अप_वह्1{णिजन्त;अव्य;ल्यप्;भ्वादिः}	अप_वह्1{णिजन्त;अव्य;ल्यप्;भ्वादिः}	पूर्वकालः,11.1	पूर्वकालः,11.1	NA	हटवा_कर	हटवा_कर
6.1	गृध्रं		--	गृध्र{पुं;2;एक}	गृध्र{पुं;2;एक}	विशेषणम्,7.1	विशेषणम्,7.1#मुख्यकर्म,11.1#कर्म,8.1#गौणकर्म,11.1	N2	लोभी	लोभी
7.1	जटायुषम्		--	जटायुस्{पुं;2;एक}	जटायुस्{पुं;2;एक}	कर्म,8.1	मुख्यकर्म,11.1#कर्म,8.1#गौणकर्म,11.1	N2	जटायुस्_को	जटायुस्_को
8.1	हत्वा		--	हन्1{अव्य;क्त्वा;अदादिः}	हन्1{अव्य;क्त्वा;अदादिः}	पूर्वकालः,11.1	पूर्वकालः,11.1	NA	मार_कर	मार_कर
9.1	रामस्य		--	राम{पुं;6;एक}	राम{पुं;6;एक}	षष्ठीसम्बन्धः,10.1	षष्ठीसम्बन्धः,10.1	N6	राम_की	राम_की
10.1	भार्यां		--	भार्या{स्त्री;2;एक}	भार्या{स्त्री;2;एक}	कर्म,11.1	मुख्यकर्म,11.1#गौणकर्म,11.1	N2	पत्नी_का	पत्नी_का
11.1	जहार		--	हृ1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}/हृ1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भ्वादिः}/हृ2{कर्तरि;लिट्;प्र;एक;परस्मैपदी;जुहोत्यादिः}/हृ2{कर्तरि;लिट्;उ;एक;परस्मैपदी;जुहोत्यादिः}	हृ2{कर्तरि;लिट्;प्र;एक;परस्मैपदी;जुहोत्यादिः}		-	KP	बलात्कार_किया	बलात्कार_किया
12.1	.		-	-	-	-	-	FS	-	-

