index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	ततः		ततः	ततः{अव्य}	ततः{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1#कार्य_द्योतकः,8.1	NA	वहाँ_से	वहाँ_से
2.1	गृध्रस्य		गृध्रस्य	गृध्र{पुं;6;एक}	गृध्र{पुं;6;एक}	विशेषणम्,4.1	विशेषणम्,4.1#षष्ठीसम्बन्धः,7.3#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,3.1	N6	लोभी	लोभी
3.1	वचनात्		वचनात्	वचन{नपुं;5;एक}	वचन{नपुं;5;एक}	हेतुः,8.1	हेतुः5,8.1#हेतुः5,7.3	N5	वचन_से	वचन_से
4.1	सम्पातेः		सम्पातेः	सम्पाति{पुं;5;एक}/सम्पाति{पुं;6;एक}	सम्पाति{पुं;6;एक}	षष्ठीसम्बन्धः,3.1	षष्ठीसम्बन्धः,7.3#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,3.1#षष्ठीसम्बन्धः,2.1#हेतुः5,8.1#हेतुः5,7.3	N6	सम्पाति_के	सम्पाति_के
5.1	हनुमान्		हनुमान्	हनुमत्{पुं;1;एक}/हनु{मतुप्;पुं;1;एक}	हनु{मतुप्;पुं;1;एक}	विशेषणम्,6.1	विशेषणम्,6.1#कर्ता,8.1#कर्म,8.1	N1	ठोडी	ठोडी
6.1	बली		बली	बलि{पुं;1;द्वि}/बलि{पुं;2;द्वि}/बलिन्{पुं;1;एक}/बलि{पुं;8;द्वि}	बलिन्{पुं;1;एक}	कर्ता,8.1	सम्बोध्यः,8.1#सम्बोध्यः,7.3#कर्ता,8.1#कर्म,8.1	N1	भैंसा	भैंसा
7.1	शत-		शत-योजन-विस्तीर्णं	शत	शत	कर्मधारय,7.2	कर्मधारय,7.2	CP	शत-	शत-
7.2	योजन-		--	योजन	योजन	षष्ठी-बहुव्रीहि,7.3	षष्ठी-बहुव्रीहि,7.3	CP	योजन-	योजन-
7.3	विस्तीर्णं		--	विस्तीर्ण{नपुं;1;एक(वि_स्तॄ1;क्त;क्र्यादिः)}/विस्तीर्ण{नपुं;2;एक(वि_स्तॄ1;क्त;क्र्यादिः)}/विस्तीर्ण{पुं;2;एक}	विस्तीर्ण{नपुं;2;एक(वि_स्तॄ1;क्त;क्र्यादिः)}	कर्म,8.1	विशेषणम्,9.2#कर्म,8.1#कर्ता,8.1	N2	बिछाया_गये_को	बिछाया_गये_को
8.1	पुप्लुवे		पुप्लुवे	प्लु1{कर्तरि;लिट्;उ;एक;आत्मनेपदी;भ्वादिः}/प्लु1{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;भ्वादिः}/प्लु1{कर्मणि;लिट्;उ;एक;आत्मनेपदी;भ्वादिः}/प्लु1{कर्मणि;लिट्;प्र;एक;आत्मनेपदी;भ्वादिः}	प्लु1{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;भ्वादिः}	अभिहित_कर्ता,6.1;सकर्मक	-	KP	गया	गया
9.1	लवण-		लवण-अर्णवम्	लवण	लवण	षष्ठी-तत्पुरुष,9.2	षष्ठी-तत्पुरुष,9.2	CP	लवण-	लवण-
9.2	अर्णवम्		--	अर्णव{पुं;2;एक}/अर्णव{नपुं;1;एक}/अर्णव{नपुं;2;एक}	अर्णव{नपुं;2;एक}	विशेषणम्,7.3	विशेषणम्,7.3#कर्म,8.1#कर्ता,8.1	N2	अर्णव	अर्णव
10.1	.		.	-	-	-	-	FS	-	-

