index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	तपः-		तपः-स्वाध्याय-निरतम्	तपस्	तपस्	इतरेतर-द्वन्द्व,1.2	इतरेतर-द्वन्द्व,1.2	CP	तपः-	तपः-
1.2	स्वाध्याय-		--	स्वाध्याय	स्वाध्याय	सप्तमी-तत्पुरुष,1.3	सप्तमी-तत्पुरुष,1.3	CP	स्वाध्याय-	स्वाध्याय-
1.3	निरतम्		--	निरत{पुं;2;एक(नि_रम्1;क्त;भ्वादिः)}/निरत{नपुं;1;एक(नि_रम्1;क्त;भ्वादिः)}/निरत{नपुं;2;एक(नि_रम्1;क्त;भ्वादिः)}	निरत{पुं;2;एक(नि_रम्1;क्त;भ्वादिः)}	विशेषणम्,5.1	विशेषणम्,4.1#कर्म,6.1#कर्ता,6.1#विशेषणम्,8.2#विशेषणम्,5.1	N2	निरत	निरत
2.1	तपस्वी		--	तपस्विन्{पुं;1;एक}	तपस्विन्{पुं;1;एक}	विशेषणम्,7.1	विशेषणम्,7.1#कर्ता,6.1	N1	तपस्वी	तपस्वी
3.1	वाक्-		--	वाच्	वाच्	उपपद-तत्पुरुष,3.2	उपपद-तत्पुरुष,3.2	CP	वाक्-	वाक्-
3.2	विदाम्		--	विद्{पुं;6;बहु}/विद्{नपुं;6;बहु}/विद्{स्त्री;6;बहु}/विदा{स्त्री;2;एक}	विद्{पुं;6;बहु}	निर्धारणम्,4.1	कर्म,6.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,2.1#षष्ठीसम्बन्धः,1.3#निर्धारणम्,4.1	N6	विदों_में	विदों_में
4.1	वरम्		--	वरम्{अव्य}/वर{पुं;2;एक}/वर{नपुं;1;एक}/वर{नपुं;2;एक}	वर{पुं;2;एक}	विशेषणम्,5.1	विशेषणम्,1.3#कर्म,6.1#कर्ता,6.1#विशेषणम्,8.2#विशेषणम्,5.1	N2	श्रेष्ठ	श्रेष्ठ
5.1	नारदम्		--	नारद{पुं;2;एक}	नारद{पुं;2;एक}	कर्म,6.1	कर्म,6.1	N2	नारद_को	नारद_को
6.1	परिपप्रच्छ		--	परि_प्रछ्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;तुदादिः}/परि_प्रछ्1{कर्तरि{लिट्;म;बहु;परस्मैपदी;तुदादिः}/परि_प्रछ्1{कर्तरि{लिट्;उ;एक;परस्मैपदी;तुदादिः}	परि_प्रछ्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;तुदादिः}	अभिहित_कर्ता,7.1;सकर्मक	-	KP	पूछा	पूछा
7.1	वाल्मीकिः		--	वाल्मीकि{पुं;1;एक}	वाल्मीकि{पुं;1;एक}	कर्ता,6.1	कर्ता,6.1	N1	वाल्मीकि_ने	वाल्मीकि_ने
8.1	मुनि-		--	मुनि	मुनि	सप्तमी-तत्पुरुष,8.2	सप्तमी-तत्पुरुष,8.2	CP	मुनि-	मुनि-
8.2	पुङ्गवम्		--	पुङ्गव{पुं;2;एक}	पुङ्गव{पुं;2;एक}	विशेषणम्,5.1	विशेषणम्,5.1#विशेषणम्,4.1#विशेषणम्,1.3#कर्म,6.1	N2	श्रेष्ठ	श्रेष्ठ
9.1	.		-	-	-	-	-	FS	-	-

