index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	महर्षे		महर्षे	महर्षि{पुं;8;एक}	महर्षि{पुं;8;एक}	सम्बोध्यः,4.1	सम्बोध्यः,4.1	N8	महर्षि	महर्षि
2.1	त्वं		त्वं	युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,4.1	कर्ता_बे_वेर्ब्स्,4.1	N1	तुम	तुम
3.1	समर्थः		समर्थः	समर्थ{पुं;1;एक}	समर्थ{पुं;1;एक}	विधेय_विशेषणम्,2.1	विधेय_विशेषणम्,2.1	N1	समर्थ	समर्थ
4.1	असि		असि	अस्2{कर्तरि;लट्;म;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लट्;म;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,2.1;सकर्मक	-	KP	हो	हो
5.1	ज्ञातुम्		ज्ञातुम्	ज्ञा1{अव्य;तुमुन्;क्र्यादिः}	ज्ञा1{अव्य;तुमुन्;क्र्यादिः}	प्रयोजनम्,3.1	प्रयोजनम्1,3.1	NA	जानने~के_लिये	जानने~के_लिये
6.1	एवं-		एवं-विधं	एवं	एवं	षष्ठी-बहुव्रीहि,6.2	षष्ठी-बहुव्रीहि,6.2	CP	एवं-	एवं-
6.2	विधं		--	विध{पुं;2;एक}/विध{नपुं;1;एक}/विध{नपुं;2;एक}	विध{पुं;2;एक}	विशेषणम्,7.1	कर्म,5.1#विधेय_विशेषणम्,2.1#विशेषणम्,7.1	N2	प्रकार	प्रकार
7.1	नरम्		नरम्	नृ{पुं;2;एक}/नर{पुं;2;एक}	नृ{पुं;2;एक}	कर्म,5.1	कर्म,5.1	N2	मनुष्य_को	मनुष्य_को
8.1	.		.	-	-	-	-	FS	-	-

