index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	पौरैः		पौरैः	पौर{पुं;3;बहु}/पौर{नपुं;3;बहु}	पौर{पुं;3;बहु}	समुच्चितः,3.1	सुप्_समुच्चितः,3.1#मध्यस्थकर्ता,12.1#हेतुः,12.1#हेतुः,9.1#हेतुः,6.1	N3	पौरों_से	पौरों_से
2.1	पित्रा		पित्रा	पितृ{पुं;3;एक}	पितृ{पुं;3;एक}	समुच्चितः,3.1	सुप्_समुच्चितः,3.1#मध्यस्थकर्ता,12.1#हेतुः,12.1#हेतुः,9.1#हेतुः,6.1#अभेदः,3.1	N3	पिता_से	पिता_से
3.1	दशरथेन		दशरथेन	दशरथ{पुं;3;एक}/दशरथ{नपुं;3;एक}	दशरथ{पुं;3;एक}	हेतुः,6.1	मध्यस्थकर्ता,12.1#हेतुः,12.1#हेतुः,9.1#हेतुः,6.1	N3	दशरथ_से	दशरथ_से
4.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,3.1	सुप्_समुच्चय_द्योतकः,3.1#सम्बन्धः,3.1	NA	च2	च2
5.1	दूरं		दूरं	दूर{पुं;2;एक}/दूर{नपुं;1;एक}/दूर{नपुं;2;एक}	दूर{पुं;2;एक}	कर्म,6.1	देशाधिकरणम्_उप,12.1#देशाधिकरणम्_उप,9.1#देशाधिकरणम्_उप,6.1#विशेषणम्,13.1#विशेषणम्,10.1#विशेषणम्,8.2#कर्म,15.1#कर्म,12.1#गतिकर्म,6.1#कर्ता,15.1#विशेषणम्,11.1#विशेषणम्,9.2	N2	दूर	दूर
6.1	अनुगतः		अनुगतः	अनुग{अव्य;तसिल्}/अनुगत{पुं;1;एक(अनु_गम्1;क्त;भ्वादिः)}	अनुगत{पुं;1;एक(अनु_गम्1;क्त;भ्वादिः)}	विशेषणम्,7.1	विशेषणम्,7.1#कर्ता,15.1#हेतुः5,12.1#हेतुः5,9.1	N1	पीछे_चलने_वाला	पीछे_चलने_वाला
7.1	धर्मात्मा		--	धर्मात्मन्{पुं;1;एक}	धर्मात्मन्{पुं;1;एक}	कर्ता,15.1;कर्ता,12.1	कर्ता,15.1	N1	धर्मात्मा	धर्मात्मा
8.1	शृङ्गवेर-		--	शृङ्गवेर	शृङ्गवेर	कर्मधारय,8.2	कर्मधारय,8.2	CP	शृङ्गवेर-	शृङ्गवेर-
8.2	पुरे		--	पुर्{स्त्री;4;एक}/पुर{नपुं;1;द्वि}/पुर{नपुं;2;द्वि}/पुरा{स्त्री;1;द्वि}/पुरा{स्त्री;2;द्वि}/पुर{नपुं;8;द्वि}/पुरा{स्त्री;8;एक}/पुरा{स्त्री;8;द्वि}/पुरि{स्त्री;8;एक}/पुर{नपुं;7;एक}/पुर{पुं;7;एक}/पुरि{पुं;8;एक}/पुरि{नपुं;8;एक}/पुरि{नपुं;1;एक}/पुरि{नपुं;2;एक}	पुर{नपुं;7;एक}	अधिकरणम्,9.1	विशेषणम्,13.1#विशेषणम्,10.1#कर्म,15.1#कर्म,12.1#कर्ता,15.1#विशेषणम्,14.2#अधिकरणम्,12.1#अधिकरणम्,9.1#अभेदः,9.2#प्रयोजनम्1,12.1#प्रयोजनम्1,9.1	N7	नगर_का	नगर_का
9.1	निषाद-		--	निषाद(नि_षद्1;घञ्;भ्वादिः)	निषाद(नि_षद्1;घञ्;भ्वादिः)	षष्ठी-तत्पुरुष,9.2	षष्ठी-तत्पुरुष,9.2	CP		
9.2	अधिपतिं		--	अधिपति{पुं;2;एक}	अधिपति{पुं;2;एक}	विशेषणम्,11.1	विशेषणम्,13.1#विशेषणम्,11.1#विशेषणम्,10.1#कर्म,15.1#कर्म,12.1	N2	अधिपति	अधिपति
10.1	प्रियम्		--	प्रिय{पुं;2;एक}/प्रिय{नपुं;1;एक}/प्रिय{नपुं;2;एक}	प्रिय{पुं;2;एक}	विशेषणम्,11.1	विशेषणम्,13.1#कर्म,15.1#कर्म,12.1#कर्ता,15.1#विशेषणम्,11.1	N2	प्रिय	प्रिय
11.1	गुहम्		--	गुह{पुं;2;एक}	गुह{पुं;2;एक}	कर्म,12.1	कर्म,15.1#कर्म,12.1	N2	गुह_को	गुह_को
12.1	आसाद्य		--	आङ्_षद्1{अव्य;णिजन्त;ल्यप्;भ्वादिः}	आङ्_षद्1{अव्य;णिजन्त;ल्यप्;भ्वादिः}	पूर्वकालः,15.1	पूर्वकालः,15.1#पूर्वकालः,13.1	NA		
13.1	सूतं		--	सूत{पुं;2;एक(षू1;क्त;अदादिः)}/सूत{नपुं;1;एक(षू1;क्त;अदादिः)}/सूत{नपुं;2;एक(षू1;क्त;अदादिः)}/सूत{पुं;2;एक(षू3;क्त;तुदादिः)}/सूत{नपुं;1;एक(षू3;क्त;तुदादिः)}/सूत{नपुं;2;एक(षू3;क्त;तुदादिः)}	सूत{पुं;2;एक(षू1;क्त;अदादिः)}	कर्म,15.1	कर्म,15.1#कर्ता,15.1	N2	सूत_को	सूत_को
14.1	गङ्गा-		--	गङ्गा	गङ्गा	षष्ठी-तत्पुरुष,14.2	षष्ठी-तत्पुरुष,14.2	CP	गङ्गा-	गङ्गा-
14.2	कूले		--	कूल{नपुं;1;द्वि}/कूल{नपुं;2;द्वि}/कूल{नपुं;8;द्वि}/कूल{नपुं;7;एक}/कूल{पुं;7;एक}/कूला{स्त्री;8;एक}/कूला{स्त्री;8;द्वि}/कूला{स्त्री;1;द्वि}/कूला{स्त्री;2;द्वि}	कूल{नपुं;7;एक}	अधिकरणम्,15.1	कर्म,15.1#अधिकरणम्,15.1	N7	किनारे_में	किनारे_में
15.1	व्यसर्जयत्		--	वि_सृ2{कर्तरि;लङ्;प्र;एक;परस्मैपदी;तुदादिः}	वि_सृ2{कर्तरि;लङ्;प्र;एक;परस्मैपदी;तुदादिः}	अभिहित_कर्ता,7.1;सकर्मक	-	KP	आया	आया
16.1	.		-	-	-	-	-	FS	-	-

