<sent_id=001_1>
index	word	hindi_meaning
1.1	तपः-	तपः-
1.2	स्वाध्याय-	स्वाध्याय-
1.3	निरतम्	निरत
2.1	तपस्वी	तपस्वी
3.1	वाक्-	वाक्-
3.2	विदाम्	विदों_में
4.1	वरम्	श्रेष्ठ
5.1	नारदम्	नारद_को
6.1	परिपप्रच्छ	पूछा
7.1	वाल्मीकिः	वाल्मीकि_ने
8.1	मुनि-	मुनि-
8.2	पुङ्गवम्	श्रेष्ठ
9.1	.	-
</sent_id>

<sent_id=002_1>
index	word	hindi_meaning
1.1	कः	कौन
2.1	नु	नु
3.1	अस्मिन्	इस
4.1	साम्प्रतम्	अब
5.1	लोके	लोक_में
6.1	गुणवान्	गुण_पुं
7.1	अस्ति	है
8.1	.	-
</sent_id>

<sent_id=002_2>
index	word	hindi_meaning
1.1	कः	कौन
2.1	च	च1
3.1	वीर्यवान्	मजबूत
4.1	अस्ति	है
5.1	.	-
</sent_id>

<sent_id=002_3>
index	word	hindi_meaning
1.1	कः	कौन
2.1	च	च1
3.1	धर्मज्ञः	धर्मज्ञ
4.1	अस्ति	है
5.1	.	-
</sent_id>

<sent_id=002_4>
index	word	hindi_meaning
1.1	कः	कौन
2.1	च	च1
3.1	कृतज्ञः	कृतज्ञ
4.1	सत्य-	सत्य-
4.2	वाक्यः	वाक्य
5.1	दृढ-	दृढ-
5.2	व्रतः	व्रत
6.1	च	च2
7.1	अस्ति	है
8.1	.	-
</sent_id>

<sent_id=003_1>
index	word	hindi_meaning
1.1	चारित्रेण	चारित्र_से
2.1	च	च1
3.1	कः	कौन
4.1	युक्तः	युक्त
5.1	अस्ति	है
6.1	.	-
</sent_id>

<sent_id=003_2>
index	word	hindi_meaning
1.1	सर्व-	सर्व-
1.2	भूतेषु	प्राणियों_में
2.1	कः	कौन
3.1	हितः	हित
4.1	अस्ति	है
5.1	.	-
</sent_id>

<sent_id=003_3>
index	word	hindi_meaning
1.1	विद्वान्	विद्वान्
2.1	कः	कौन
3.1	अस्ति	है
4.1	.	-
</sent_id>

<sent_id=003_4>
index	word	hindi_meaning
1.1	कः	कौन
2.1	समर्थः	समर्थ
3.1	च	च1
4.1	अस्ति	है
5.1	.	-
</sent_id>

<sent_id=003_5>
index	word	hindi_meaning
1.1	कः	कौन
2.1	च	च1
3.1	एक-	एक-
3.2	प्रिय-	प्रिय-
3.3	दर्शनः	दर्शन
4.1	अस्ति	है
5.1	.	-
</sent_id>

<sent_id=004_1>
