index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	तं		तं	तद्{सर्वनाम;पुं;2;एक}	तद्{सर्वनाम;पुं;2;एक}	कर्म,2.1	विशेषणम्,10.1#विशेषणम्,2.1#कर्म,14.1#कर्म,6.2#कर्म,2.1	N2	वह	वह
2.1	व्रजन्तं		व्रजन्तं	व्रजत्{पुं;2;एक(व्रज्1;शतृ_लट्;भ्वादिः)}	व्रजत्{पुं;2;एक(व्रज्1;शतृ_लट्;भ्वादिः)}	विशेषणम्,10.1	विशेषणम्,10.1#कर्म,14.1#कर्म,6.2	N2	घूमने	घूमने
3.1	प्रियः		प्रियः	प्रिय{पुं;1;एक}	प्रिय{पुं;1;एक}	विशेषणम्,5.1	विशेषणम्,14.1#विशेषणम्,11.1#विशेषणम्,9.2#विशेषणम्,8.2#विशेषणम्,5.1#विशेषणम्,4.1#कर्ता,6.2	N1	प्रिय	प्रिय
4.1	भ्राता		भ्राता	भ्रातृ{पुं;1;एक}	भ्रातृ{पुं;1;एक}	विशेषणम्,5.1	कर्ता,6.2#अभेदः,5.1	N1	भाई	भाई
5.1	लक्ष्मणः		लक्ष्मणः	लक्ष्मण{पुं;1;एक}	लक्ष्मण{पुं;1;एक}	कर्ता,6.2	कर्ता,6.2	N1	लक्ष्मण	लक्ष्मण
6.2	अनुजगाम		--	अनु_गम्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}/गम्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भ्वादिः}	गम्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,5.1;सकर्मक	-	KP	पीछे_गया	पीछे_गया
7.1	स्नेहात्		स्नेहात्	स्नेह{पुं;5;एक}	स्नेह{पुं;5;एक}	हेतुः,6.2	हेतुः5,14.1#हेतुः5,8.2#हेतुः5,6.2#हेतुः5,2.1	N5	स्नेह_से	स्नेह_से
8.1	विनय-		विनय-सम्पन्नः	विनय	विनय	तृतीया-तत्पुरुष,8.2	तृतीया-तत्पुरुष,8.2	CP	विनय-	विनय-
8.2	सम्पन्नः		--	सम्पन्न{पुं;1;एक(सम्_पद्1;क्त;दिवादिः)}	सम्पन्न{पुं;1;एक(सम्_पद्1;क्त;दिवादिः)}	विशेषणम्,5.1	विशेषणम्,14.1#विशेषणम्,11.1#विशेषणम्,9.2#विशेषणम्,5.1#विशेषणम्,4.1#विशेषणम्,3.1#कर्ता,6.2	N1	सम्पन्न	सम्पन्न
9.1	सुमित्रा-		सुमित्रानन्द-वर्धनः	सुमित्रा	सुमित्रा	षष्ठी-तत्पुरुष,9.2	षष्ठी-तत्पुरुष,9.2	CP	सुमित्रा-	सुमित्रा-
9.2	आनन्द-		--	आनन्द	आनन्द	षष्ठी-तत्पुरुष,9.3	षष्ठी-तत्पुरुष,9.3	CP	आनन्द-	आनन्द-
9.3	वर्धनः		--	वर्धन{पुं;1;एक}	वर्धन{पुं;1;एक}	विशेषणम्,5.1	विशेषणम्,14.1#विशेषणम्,11.1#विशेषणम्,8.2#विशेषणम्,5.1#विशेषणम्,4.1#विशेषणम्,3.1#कर्ता,6.2	N1	वर्धन	वर्धन
10.1	भ्रातरं		भ्रातरं	भ्रातृ{पुं;2;एक}	भ्रातृ{पुं;2;एक}	कर्म,6.2	कर्म,14.1#कर्म,6.2#कर्म,2.1	N2	भाई_को	भाई_को
11.1	दयितः		दयितः	दयित{पुं;1;एक}	दयित{पुं;1;एक}	विशेषणम्,5.1	कर्ता,6.2#अभेदः,5.1	N1	दयित	दयित
12.1	भ्रातुः		भ्रातुः	भ्रातृ{पुं;5;एक}/भ्रातृ{पुं;6;एक}	भ्रातृ{पुं;6;एक}	षष्ठीसम्बन्धः,11.1	षष्ठीसम्बन्धः,13.1#षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,8.2#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.1#हेतुः5,14.1#हेतुः5,8.2#हेतुः5,6.2#हेतुः5,2.1#अपादानम्,14.1#अपादानम्,6.2	N6	भाई_का	भाई_का
13.1	सौभ्रात्रम्		सौभ्रात्रम्	सौभ्रात्र{नपुं;1;एक}/सौभ्रात्र{नपुं;2;एक}	सौभ्रात्र{नपुं;2;एक}	कर्म,14.1	कर्म,14.1#कर्म,6.2#कर्म,2.1#कर्ता,6.2	N2	सौभ्रात्र_को	सौभ्रात्र_को
14.1	अनुदर्शयन्		अनुदर्शयन्	अनुदर्शयत्{पुं;1;एक(अनु_दृश्1;शतृ_लट्;भ्वादिः)}	अनुदर्शयत्{पुं;1;एक(अनु_दृश्1;शतृ_लट्;भ्वादिः)}	वर्तमानसमानकालः,6.2	वर्तमानसमानकालः,6.2#कर्ता,6.2	N1	देखता_हुआ	देखता_हुआ
15.1	.		.	-	-	-	-	FS	-	-

