index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	गते		गते	गति{स्त्री;8;एक}/गत{पुं;7;एक(गम्1;क्त;भ्वादिः)}/गत{नपुं;7;एक(गम्1;क्त;भ्वादिः)}	गत{पुं;7;एक(गम्1;क्त;भ्वादिः)}	विशेषणम्,3.1	अधिकरणम्,15.1#विशेषणम्,3.1#सम्बोध्यः,18.1#सम्बोध्यः,3.1	N7	गये_हुए	गये_हुए
2.1	तु		तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	तो	तो
3.1	भरते		भरते	भृ1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;भ्वादिः}/भरत्{पुं;4;एक}/भरत्{नपुं;4;एक}/भरत{पुं;7;एक}	भरत{पुं;7;एक}	अधिकरणम्,10.1	अधिकरणम्,18.1#अधिकरणम्,15.1#अधिकरणम्,10.1#प्रयोजनम्1,18.1#प्रयोजनम्1,15.1#प्रयोजनम्1,10.1	N7	भरत_में	भरत_में
4.1	श्रीमान्		श्रीमान्	श्रीमत्{पुं;1;एक}/श्री{मतुप्;पुं;1;एक}	श्रीमत्{पुं;1;एक}	विशेषणम्,7.1	विशेषणम्,16.1#विशेषणम्,7.1#विशेषणम्,6.1#विशेषणम्,5.2#कर्ता,18.1#कर्ता,3.1	N1	श्री_मान्	श्री_मान्
5.1	सत्य-		सत्य-सन्धः	सत्य	सत्य	षष्ठी-तत्पुरुष,5.2	षष्ठी-तत्पुरुष,5.2	CP	सत्य-	सत्य-
5.2	सन्धः		--	सन्ध{पुं;1;एक}	सन्ध{पुं;1;एक}	विशेषणम्,7.1	विशेषणम्,16.1#विशेषणम्,7.1#विशेषणम्,6.1#विशेषणम्,4.1#कर्ता,18.1#कर्ता,3.1	N1	मेल	मेल
6.1	जितेन्द्रियः		जितेन्द्रियः	जितेन्द्रिय{पुं;1;एक}	जितेन्द्रिय{पुं;1;एक}	विशेषणम्,7.1	विशेषणम्,7.1#कर्ता,18.1#कर्ता,3.1	N1	जितेन्द्रिय	जितेन्द्रिय
7.1	रामः		रामः	राम{पुं;1;एक}	राम{पुं;1;एक}	कर्ता,18.1;कर्ता,10.1	कर्ता,18.1#कर्ता,3.1	N1	राम	राम
8.1	तु		तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,7.1	सम्बन्धः,7.1	NA	तो	तो
