index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	ततः		ततः	ततः{अव्य}	ततः{अव्य}	सम्बन्धः,17.1	सम्बन्धः,17.1#कार्य_द्योतकः,17.1	NA	वहाँ_से	वहाँ_से
2.1	शूर्पणखा-		शूर्पणखा-वाक्यात्	शूर्पणखा	शूर्पणखा	षष्ठी-तत्पुरुष,2.2	षष्ठी-तत्पुरुष,2.2	CP	शूर्पणखा-	शूर्पणखा-
2.2	वाक्यात्		--	वाक्य{नपुं;5;एक}/वाक्य{पुं;5;एक}	वाक्य{नपुं;5;एक}	हेतुः,3.1	हेतुः5,17.1#हेतुः5,3.1	N5	वाक्य_से	वाक्य_से
3.1	उद्युक्तान्		उद्युक्तान्	उद्युक्त{पुं;2;बहु(उत्_वच्1;क्त;अदादिः)}	उद्युक्त{पुं;2;बहु(उत्_वच्1;क्त;अदादिः)}	विशेषणम्,4.2	विशेषणम्,16.1#विशेषणम्,15.1#विशेषणम्,12.1#विशेषणम्,11.1#विशेषणम्,10.1#विशेषणम्,7.1#विशेषणम्,6.1#विशेषणम्,5.1#विशेषणम्,4.2#कर्म,17.1	N2	उद्युक्त	उद्युक्त
4.1	सर्व-		सर्व-राक्षसान्	सर्व	सर्व	कर्मधारय,4.2	कर्मधारय,4.2	CP	सर्व-	सर्व-
4.2	राक्षसान्		--	राक्षस{पुं;2;बहु}	राक्षस{पुं;2;बहु}	समुच्चितः,12.1	विशेषणम्,12.1#सुप्_समुच्चितः,12.1#सुप्_समुच्चितः,7.1#कर्म,17.1	N2	राक्षसों_को	राक्षसों_को
5.1	खरं		खरं	खर{पुं;2;एक}	खर{पुं;2;एक}	समुच्चितः,12.1	विशेषणम्,10.1#विशेषणम्,7.1#विशेषणम्,6.1#सुप्_समुच्चितः,12.1#सुप्_समुच्चितः,7.1#कर्म,17.1	N2	खल_को	खल_को
6.1	त्रिशिरसं		त्रिशिरसं	त्रिशिरस्{पुं;2;एक}	त्रिशिरस्{पुं;2;एक}	समुच्चितः,12.1	सुप्_समुच्चितः,12.1#सुप्_समुच्चितः,7.1#कर्म,17.1	N2	त्रिशिरस्_को	त्रिशिरस्_को
7.1	दूषणं		दूषणं	दूषण{पुं;2;एक}/दूषण{नपुं;1;एक}/दूषण{नपुं;2;एक}	दूषण{पुं;2;एक}	विशेषणम्,10.1	सुप्_समुच्चितः,12.1#कर्म,17.1#कर्ता,17.1#विशेषणम्,10.1	N2	दूषण	दूषण
8.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,7.1	सुप्_समुच्चय_द्योतकः,7.1#सम्बन्धः,7.1	NA	च1	च1
9.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	ही	ही
10.1	राक्षसम्		राक्षसम्	राक्षस{पुं;2;एक}	राक्षस{पुं;2;एक}	समुच्चितः,12.1	सुप्_समुच्चितः,12.1#सुप्_समुच्चितः,7.1#कर्म,17.1	N2	राक्षस_को	राक्षस_को
11.1	तेषां		--	तद्{सर्वनाम;पुं;6;बहु}/तद्{सर्वनाम;नपुं;6;बहु}	तद्{सर्वनाम;पुं;6;बहु}	षष्ठीसम्बन्धः,12.1	षष्ठीसम्बन्धः,16.1#षष्ठीसम्बन्धः,15.1#षष्ठीसम्बन्धः,12.1#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.2#षष्ठीसम्बन्धः,2.2	N6	उनके	उनके
12.1	पदानुगान्		--	पदानुग{पुं;2;बहु}	पदानुग{पुं;2;बहु}	कर्म,17.1	सुप्_समुच्चितः,7.1#कर्म,17.1	N2	पदानुगों_को	पदानुगों_को
13.1	च		--	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,12.1	सुप्_समुच्चय_द्योतकः,12.1#सम्बन्धः,12.1	NA	च2	च2
14.1	एव		--	एव{अव्य}	एव{अव्य}	सम्बन्धः,13.1	सम्बन्धः,13.1	NA	ही	ही
15.1	रणे		--	रण{पुं;7;एक}/रण{नपुं;7;एक}	रण{पुं;7;एक}	अधिकरणम्,17.1	अधिकरणम्,17.1	N7	युद्ध_में	युद्ध_में
16.1	रामः		--	राम{पुं;1;एक}	राम{पुं;1;एक}	कर्ता,17.1	सुप्_समुच्चितः,7.1#कर्ता,17.1	N1	राम_ने	राम_ने
17.1	निजघान		--	नि_हन्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;अदादिः}/नि_हन्1{कर्तरि{लिट्;उ;एक;परस्मैपदी;अदादिः}	नि_हन्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,16.1;सकर्मक	-	KP	समूल_नष्ट_किया	समूल_नष्ट_किया
18.1	.		-	-	-	-	-	FS	-	-

