index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	ताम्		ताम्	तद्{सर्वनाम;स्त्री;2;एक}	तद्{सर्वनाम;स्त्री;2;एक}	कर्म,2.1	मुख्यकर्म,2.1#गौणकर्म,2.1	N2	वह	वह
2.1	उवाच		उवाच	वच्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;अदादिः}/वच्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;अदादिः}/ब्रू1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;अदादिः}/ब्रू1{कर्तरि;लिट्;उ;एक;परस्मैपदी;अदादिः}	वच्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,4.1;सकर्मक	-	KP	बोला	बोला
3.1	ततः		ततः	ततः{अव्य}	ततः{अव्य}	सम्बन्धः,2.1	सम्बन्धः,2.1	NA	वहाँ_से	वहाँ_से
4.1	रामः		रामः	राम{पुं;1;एक}	राम{पुं;1;एक}	कर्ता,2.1	कर्ता,2.1	N1	राम	राम
5.1	परुषं		परुषं	परुष{पुं;2;एक}/परुष{नपुं;1;एक}/परुष{नपुं;2;एक}	परुष{नपुं;2;एक}	कर्म,2.1	मुख्यकर्म,2.1#कर्मसमानाधिकरणम्,1.1#कर्ता,2.1#गौणकर्म,2.1	N2	कठोर	कठोर
6.1	जन-		जन-संसदि	जन	जन	षष्ठी-तत्पुरुष,6.2	षष्ठी-तत्पुरुष,6.2	CP	जन-	जन-
6.2	संसदि		--	संसद्{स्त्री;7;एक}	संसद्{स्त्री;7;एक}	अधिकरणम्,2.1	अधिकरणम्,2.1	N7	सभा_में	सभा_में
7.1	.		.	-	-	-	-	FS	-	-

